JacksonvilleUAB11-10,11/10/17,"UAB -12.9, 83-70 (85%)",70.25456831,83.13907455,67,96,296,149,72.44846329,31.71636079
MercerUCF11-10,11/10/17,"UCF -9.5, 76-66 (80%)",65.97265225,75.51585123,79,88,101,54,67.15495972,51.01660905
Northern ColoradoColorado11-10,11/10/17,"Colorado -12.2, 83-71 (83%)",71.24780132,83.4115404,51,66,208,97,74.01755155,41.45803437
SouthernIllinois11-10,11/10/17,"Illinois -20.1, 85-65 (94%)",65.36964052,85.4538234,55,102,313,79,73.68238404,30.24097066
North FloridaMichigan St.11-10,11/10/17,"Michigan St. -37.5, 98-61 (99%)",60.56231222,98.08399125,66,98,333,2,74.50291383,37.4219805
BresciaMurray St.11-10,11/10/17,Murray St. (100%),35.79761016,114.2772385,61,118,0,160,72.39731816,-39.00019202
AvilaOral Roberts11-10,11/10/17,Oral Roberts (100%),36.78679988,107.6179772,72,86,0,266,73.22302201,-44.59643089
SIU EdwardsvillePurdue11-10,11/10/17,"Purdue -31.0, 92-61 (99%)",60.83363472,91.86991016,74,105,323,13,75.43278957,36.10239303
North ParkValparaiso11-10,11/10/17,Valparaiso (100%),33.25231554,108.2665196,46,88,0,133,71.86143239,-38.15987878
Southwestern TexasIncarnate Word11-10,11/10/17,Incarnate Word (100%),38.61380384,114.7652501,71,87,0,236,75.11868884,-42.29310857
UMBCSMU11-10,11/10/17,"SMU -17.2, 85-68 (91%)",67.72204356,84.916535,67,78,201,55,71.97886377,40.15688821
Fort WayneOakland11-10,11/10/17,"Oakland -11.6, 91-79 (80%)",78.91197801,90.5002785,71,85,180,89,80.37219083,50.71876664
Southern IllinoisWinthrop11-10,11/10/17,"Winthrop -2.6, 75-73 (59%)",72.74114967,75.37716443,81,66,158,198,73.52583259,55.41372309
Georgia SouthernWake Forest11-10,11/10/17,"Wake Forest -11.5, 89-78 (81%)",77.62445989,89.17439512,85,83,119,69,76.21059041,54.28601145
Arkansas St.Evansville11-10,11/10/17,"Evansville -4.4, 74-70 (65%)",69.61408353,74.04949334,63,77,178,177,72.0895925,48.97537637
McNeese St.Houston11-10,11/10/17,"Houston -21.6, 88-67 (95%)",66.67092039,88.29625354,53,81,309,70,73.10460402,31.2918491
NiagaraSt. Bonaventure11-10,11/10/17,"St. Bonaventure -13.5, 87-73 (85%)",73.26255067,86.7228091,77,75,189,82,75.46670397,44.55928331
Central ConnecticutHartford11-10,11/10/17,"Hartford -7.0, 75-68 (73%)",67.5597736,74.592395,84,85,340,318,71.66329788,23.2018297
NortheasternBoston University11-10,11/10/17,"Boston University -0.4, 75-74 (51%)",73.95184266,74.30925618,65,59,140,202,72.97618738,59.67450001
Florida AtlanticSouth Florida11-10,11/10/17,"South Florida -3.6, 76-73 (62%)",72.6670196,76.22494436,59,60,229,228,73.87120674,47.02829082
PepperdineOklahoma St.11-10,11/10/17,"Oklahoma St. -23.2, 92-69 (95%)",68.69340912,91.92501998,47,78,285,60,75.8823465,35.51600118
ColumbiaVillanova11-10,11/10/17,"Villanova -27.6, 89-62 (98%)",61.871526,89.46320982,60,75,232,5,71.7195745,42.2402695
MidwayTennessee Tech11-10,11/10/17,Tennessee Tech (100%),35.9955809,107.1654619,56,94,0,241,72.65806145,-43.74274626
MaineBoston College11-10,11/10/17,"Boston College -21.9, 89-67 (95%)",67.1740342,89.03810709,65,85,334,103,76.77882343,26.54495319
HowardGeorge Washington11-10,11/10/17,"George Washington -17.2, 79-62 (93%)",61.74454016,78.9496071,75,84,346,183,71.33766841,16.21626054
UC Santa CruzFresno St.11-10,11/10/17,Fresno St. (100%),33.55889215,114.0297708,65,96,0,88,72.51891912,-34.67980192
North Carolina CentralIllinois Chicago11-10,11/10/17,"Illinois Chicago -10.4, 83-72 (80%)",72.07542712,82.5241037,55,65,304,168,76.12552524,37.64401772
Alcorn St.LSU11-10,11/10/17,"LSU -21.3, 90-68 (94%)",68.28613301,89.56523169,59,99,312,83,75.45629075,30.62225656
Loyola MDNorthwestern11-10,11/10/17,"Northwestern -21.3, 83-61 (96%)",61.266808,82.58651712,75,79,235,26,69.5967593,37.46561878
YaleCreighton11-10,11/10/17,"Creighton -9.9, 84-74 (78%)",73.92140222,83.84500463,76,92,102,51,75.43695696,59.27175374
Louisiana MonroeTCU11-10,11/10/17,"TCU -22.1, 83-61 (96%)",60.64561421,82.75453551,73,83,237,21,69.86444107,38.24123259
Utah St.Weber St.11-10,11/10/17,"Weber St. -3.5, 77-74 (62%)",73.73919346,77.21126866,59,65,141,156,71.85730034,54.74037743
ChattanoogaWyoming11-10,11/10/17,"Wyoming -17.3, 83-66 (92%)",66.08713024,83.37018187,65,74,295,100,76.23904605,32.6203874
AmericanKansas St.11-10,11/10/17,"Kansas St. -20.1, 78-58 (95%)",58.38220396,78.492203,45,83,279,42,68.38762264,32.04114844
Western CarolinaClemson11-10,11/10/17,"Clemson -20.2, 82-62 (95%)",62.2862115,82.47361688,57,85,262,50,71.44241368,35.16947777
ColgateConnecticut11-10,11/10/17,"Connecticut -14.4, 79-65 (89%)",64.80154414,79.2371338,58,70,193,68,68.83854418,39.32312603
EmoryLipscomb11-10,11/10/17,Lipscomb (100%),38.07765953,124.6904236,83,98,0,118,77.22787815,-33.86817469
SamfordArkansas11-10,11/10/17,"Arkansas -12.4, 89-77 (82%)",76.74847514,89.18452471,56,95,109,47,75.87179024,55.4754221
