player_name,team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank, ast/tov, rimmade, rimmade+rimmiss, midmade, midmade+midmiss, rimmade/(rimmade+rimmiss), midmade/(midmade+midmiss), dunksmade, dunksmiss+dunksmade, dunksmade/(dunksmade+dunksmiss), pick, drtg,adrtg, dporpag, stops, bpm, obpm, dbpm, gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,,
AJ Wilson,South Carolina,SEC,21,24.5,108.5,13,50,52.32,11.9,11.9,6.8,17.4,12,19,0.632,23,45,0.511,3,10,0.3,7,2.3,34.5,Sr,7-Jun,12,0.839437,102.692,5.3,2022,44849,all,,0.91659032,17,32,6,14,0.5313,0.4286,4,5,0.8,,96.5786,91.8925,1.71906,61.9175,5.7984,0.518834,5.27956,3.07086,13.5455,-0.0687944,3.13965,1.5909,1.4545,3.0455,0.5,0.5455,0.9091,3.1364,PF/C,1.8839
Xavier Green,Maryland,B10,32,49,101.1,8.4,45.8,47.39,4,10.4,7.8,17.9,9,15,0.6,15,39,0.385,12,33,0.364,0.5,1.5,20.8,Sr,6-Jun,11,0.14661,87.5245,2.9,2022,44944,all,15.2,1.75,7,11,8,28,0.6364,0.2857,1,1,1,,107.819,101.144,1.78327,97.3159,1.10219,0.0500469,1.05214,-0.292002,19.75,-1.36447,1.07247,0.6875,1.8125,2.5,0.875,0.5,0.0938,2.3438,Wing G,3.08572
Tareq Coburn,St. John's,BE,27,24.9,99.1,17.1,53.1,54.47,2.6,5.7,6.4,18.6,15,24,0.625,15,35,0.429,24,61,0.393,2,2.2,25,Sr,5-Jun,10,0.564394,99.1127,4,2022,45017,all,,0.68424044,12,26,3,9,0.4615,0.3333,4,5,0.8,,103.797,100.479,1.10418,53.6782,-0.126511,0.395463,-0.521974,-0.564024,11.8889,-0.347751,-0.216274,0.2963,0.6296,0.9259,0.4815,0.4815,0.2222,4.3333,Combo G,10.2116
Tavian Dunn-Martin,Florida Gulf Coast,ASun,32,83.3,110.6,33.5,51,56.81,1.7,8.5,38.1,19,157,179,0.877,113,246,0.459,103,278,0.371,0.1,1.8,34.2,Sr,8-May,5,4.74936,126.454,1.6,2022,45090,all,,1.62293751,78,142,38,110,0.5493,0.3455,0,0,,,108.086,110.058,2.00099,168.936,1.39059,5.11996,-3.72937,3.14829,33.6061,5.61927,-2.47098,0.4848,2.6364,3.1212,6,1.1212,0.0303,21.3636,Pure PG,14.5218
Jakolby Long,Bethune Cookman,SWAC,26,50.3,95.9,12.5,37.4,43.68,5.8,10.9,11.2,15.4,27,35,0.771,37,96,0.385,0,3,0,0,2.6,35.4,Sr,4-Jun,2,-0.134445,83.6389,3.6,2022,45184,all,75.4,1.70014848,22,52,15,44,0.4231,0.3409,0,0,,,105.457,112.263,1.17412,97.7926,-3.57299,-2.25857,-1.31443,-4.11968,22.5926,-3.41426,-0.705423,1.1111,1.9259,3.037,1.2593,0.963,0,4,Wing G,0.303506
Taze Moore,Houston,Amer,34,70.7,114.8,18.8,51.9,53.28,5.8,12.1,17.4,15.1,30,42,0.714,101,184,0.549,42,132,0.318,2.7,3.2,13.3,Sr,5-Jun,4,3.31229,117.257,3.1,2022,45252,all,,2.08329789,60,80,41,104,0.75,0.3942,21,21,1,,89.5651,86.8207,4.21182,199.869,8.53664,4.43741,4.09923,7.48206,30.2647,3.49432,3.98774,1.5294,3.2059,4.7353,2.9412,1.5588,0.6176,10.5294,Wing G,7.80398
Justin Edler-Davis,Cal St. Bakersfield,BW,25,65.4,104.4,18.5,46,48.43,8.9,22.8,4.7,11.3,23,29,0.793,57,133,0.429,24,69,0.348,0.4,2.2,14.4,Sr,4-Jun,10,1.50677,101.967,4.4,2022,45253,all,29.8,0.61536863,19,35,38,98,0.5429,0.3878,3,5,0.6,,101.429,103.537,2.16335,125.976,-0.741107,0.558224,-1.29933,-0.115159,25.5185,0.765946,-0.881105,2.037,4.3704,6.4074,0.5926,0.9259,0.0741,8.5926,Wing G,6.544
Greg Lee,Penn St.,B10,16,27.9,95.7,19.1,44.3,46.85,8.9,21.2,6,16.3,12,16,0.75,31,64,0.484,8,33,0.242,0.7,0.7,16.5,Sr,9-Jun,5,1.11122,100.237,4.1,2022,45254,all,,0.58823529,16,23,15,41,0.6957,0.3659,2,3,0.6667,,102.838,93.6985,2.51645,58.6011,-2.18783,-2.16586,-0.0219704,-1.05883,21.875,-1.43421,0.375373,1.5625,3.9375,5.5,0.625,0.25,0.125,6.125,PF/C,6.04214
Brandon Johnson,DePaul,BE,31,83.5,100.4,17.4,45.4,49.91,6.1,15.8,4.5,15.1,88,136,0.647,83,180,0.461,24,82,0.293,0.7,1.1,51.9,Sr,8-Jun,35,1.72623,100.271,2.6,2022,45288,all,,0.54165589,49,85,34,95,0.5765,0.3579,12,16,0.75,,104.573,101.244,3.0261,178.084,-0.976879,-0.124173,-0.852706,-0.90914,33.5161,-0.227342,-0.681799,1.9032,4.9355,6.8387,0.8387,0.6452,0.2258,10.5161,Wing F,4.46391
Nick Robinson,Western Carolina,SC,29,77.8,101,25.6,46,50.33,5.4,18.9,20.3,16.7,86,112,0.768,90,199,0.452,55,176,0.313,1.2,1.8,29.9,Sr,6-Jun,25,2.31306,105.431,3.2,2022,45304,all,40.8,1.21619974,36,76,54,123,0.4737,0.439,2,4,0.5,,109.773,107.178,2.32779,187.883,0.414196,0.906726,-0.49253,0.794431,33.1667,1.51206,-0.717625,1.8,5.4667,7.2667,3,1.1,0.3333,14.7333,Wing F,10.4257
Grant Golden,Richmond,A10,37,68.5,105.5,27.4,53.4,55.66,4,21.9,25.1,15.3,72,102,0.706,183,325,0.563,23,82,0.28,2,0.9,25.1,Sr,10-Jun,33,3.13292,118.308,2.2,2022,45309,all,11,1.51390103,129,200,54,125,0.645,0.432,4,4,1,,101.173,98.3963,2.75557,186.658,2.99343,1.72191,1.27152,4.55147,27.5946,3.86624,0.685235,0.9189,5.1081,6.027,2.9459,0.4324,0.5135,13.7027,PF/C,4.79063
