rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,"Fun Rk, adjt"
21,Kansas St.,B12,22-11,111.3821915846611,40,91.6514414047655,19,0.9039764349163251,21,22,11,10,6,10-6,0.6839617188463984,0.531884440199214,0.7802104619267017,0.6839617188463984,0.531884440199214,0.7802104619267017,0.6793543963755585,0.7696218766307273,107.15830845509292,97.96608344514483,107.15830845509292,97.96608344514483,111.71088595127075,92.06869324828862,115.90939174567502,95.57850560430273,0.9018454118580786,13,-0.019226794713927853,1127.0,1078.0,1073.6124999999997,1.0497269731863221,1.004086670004308,0,0.625,1.9716770124565317,29,221,68.25156782562041
22,Clemson,ACC,22-12,109.36263200113092,60,90.27503335072637,11,0.9007687618069643,22,22,12,9,7,9-7,0.6714492401531624,0.4951770272794112,0.778791897803338,0.6714492401531624,0.4951770272794112,0.778791897803338,0.7110503857182444,0.8445713587685171,105.70638549404032,97.7659410818208,105.70638549404032,97.7659410818208,109.64837729300066,91.67664125660245,118.8866100180889,103.1450527728105,0.8366334930432624,9,-0.0648165159636056,1065.0,1002.0,1041.7625,1.0223059478527976,0.9618315115009418,0,0.5625,0.653074616454121,44,303,64.84249846929005
23,Cincinnati,BE,26-9,110.26452178871902,51,91.10944997723303,17,0.8997489243113961,23,26,9,11,7,11-7,0.632973000535071,0.34068998033220527,0.7981511315445274,0.632973000535071,0.34068998033220527,0.7981511315445274,0.7169072241526587,0.9340433520648972,105.90906293036608,98.96598184924811,105.90906293036608,98.96598184924811,108.36589990598476,91.3328038625934,108.23772728966895,95.11794547131252,0.8154683834457127,14,0.02687971554786628,1167.0,1110.0,1129.125,1.033543673198273,0.9830621056127532,0,0.6111111111111112,3.352728747186324,20,111,64.13125000821421
24,Utah St.,WAC,29-4,109.32341635413655,61,90.55503631951476,13,0.8971597668947636,24,29,4,15,1,15-1,0.51887350713713,0.48234599839667014,0.515076506346312,0.51887350713713,0.48234599839667014,0.515076506346312,0.8378433933337689,0.82241530563425,102.83665329436516,101.61417098546156,102.83665329436516,101.61417098546156,111.01243150781568,90.06480250536688,108.50051060070611,97.12371880251267,0.7814004955975044,4,0.04471403189138545,1146.0,922.0,1030.625,1.1119466343238327,0.8946027895694361,0,0.9375,3.734465018278396,19,75,63.33647972187518
25,Michigan,B10,20-14,111.88535804830686,36,93.22713870359976,34,0.8907098783070714,25,20,14,9,9,9-9,0.7419750229687049,0.517815415859342,0.8503389258657044,0.7419750229687049,0.517815415859342,0.8503389258657044,0.6104439349931003,0.7834206312481845,110.04287993869906,96.94285387246768,110.04287993869906,96.94285387246768,113.59229195318488,97.89185454719568,121.57740361190102,101.42057212640483,0.8894036912645653,16,-0.004896450130598584,1165.0,1200.0,1101.05,1.0580809227555517,1.0898687616366196,0,0.5,1.8650727405247651,31,178,62.66172885243991
26,St. John's,BE,21-12,111.10389905511317,43,93.34872538612171,35,0.881051045327545,26,21,12,12,6,12-6,0.739192162011344,0.5756580238957203,0.8304873450612008,0.739192162011344,0.5756580238957203,0.8304873450612008,0.6425317632495527,0.7909305595385892,109.28673950956446,97.09309486972272,109.28673950956446,97.09309486972272,109.79006993389434,90.98771379152474,120.90948900266562,100.54338666566399,0.8929474915938274,18,0.029005177269299964,1212.0,1189.0,1186.85,1.0211905464043478,1.0018115178834732,0,0.6666666666666666,3.2360546770123975,21,107,66.94425502222151
27,UNLV,MWC,24-9,108.9036035332447,63,91.59658660847855,18,0.8797743221564865,27,24,9,11,5,11-5,0.64193287686526,0.5668918942313071,0.6802900416943656,0.64193287686526,0.5668918942313071,0.6802900416943656,0.7281124132359528,0.7706620938476982,105.49068520208779,98.17535750048587,105.49068520208779,98.17535750048587,106.83117493803687,92.11957529817501,122.96746541894555,104.73640739621798,0.8635907902244646,11,0.03003604480800237,1117.0,1036.0,1080.1,1.0341635033793168,0.9591704471808167,0,0.6875,2.8116664222269616,23,103,67.93551109176164
28,Gonzaga,WCC,24-10,110.4756355310169,49,93.00655789475182,30,0.8786211841171769,28,24,10,11,3,11-3,0.6030988424946896,0.6191350862407515,0.5285290298319876,0.6030988424946896,0.6191350862407515,0.5285290298319876,0.7638641658285144,0.7301440345925952,105.47073701417968,100.58927404889063,105.47073701417968,100.58927404889063,111.05119025654575,93.75278887807606,130.32652439008618,113.78650733397852,0.8264637278731807,10,-0.026437036830454175,1073.0,912.0,946.2874999999999,1.1339048650647927,0.9637662972405322,0,0.7857142857142857,0.3468753804200104,46,233,68.08639719790074
29,Wichita St.,MVC,28-8,112.54262729700474,29,94.7932923811012,49,0.8780169920708241,29,28,8,14,4,14-4,0.5662702948616267,0.4652078188446536,0.5623785881017365,0.5662702948616267,0.4652078188446536,0.5623785881017365,0.811427589275711,0.8159327352390862,102.42611616213334,99.79241701954176,102.42611616213334,99.79241701954176,109.93034023782901,95.03758081451979,118.55323477500514,97.30897695198462,0.9064393986957436,4,-0.004575452660261048,1292.0,1096.0,1170.2125,1.104072978198404,0.9365820310413706,0,0.7777777777777778,-0.9080390924582091,61,177,65.72642268451355
30,Marquette,BE,22-15,114.14211564045485,23,96.20283504013733,63,0.877216688936818,30,22,15,9,9,9-9,0.7038353649189378,0.4548045868284673,0.8308830398420267,0.7038353649189378,0.4548045868284673,0.8308830398420267,0.6364724639007495,0.7931171826308401,107.91972086598037,97.65129673139623,107.91972086598037,97.65129673139623,118.47610775952064,98.29363741469189,129.61586348222826,110.1859214115908,0.8661883924158071,22,-0.0020121839468908442,1317.0,1273.0,1196.1625000000001,1.1010209733209324,1.064236673528889,0,0.5,0.7716572725090767,43,167,67.5906791654547
31,Virginia Tech,ACC,22-12,109.50552151565955,58,92.32573353183182,25,0.8768031223460033,31,22,12,9,7,9-7,0.6562291889967091,0.5262908721284457,0.7463431788714447,0.6562291889967091,0.5262908721284457,0.7463431788714447,0.7181376664725351,0.8023424151802756,105.50099002492323,97.98146945101784,105.50099002492323,97.98146945101784,112.18249423737858,95.25675706073342,108.61223661412251,92.51485334238265,0.8635119877531521,11,-0.033587805813554694,1124.0,1057.0,1054.1625,1.0662492737125444,1.0026917102439141,0,0.5625,0.9512007272356671,42,254,65.13757977156283
32,Florida St.,ACC,23-11,102.55343333309926,154,86.50737068529395,1,0.8761835034347856,32,23,11,11,5,11-5,0.6576951306193852,0.47979498302455353,0.7634996110116135,0.6576951306193852,0.47979498302455353,0.7634996110116135,0.7074579060691619,0.8275283104051717,106.35642599131614,98.2056064699969,106.35642599131614,98.2056064699969,105.21174886607277,88.84432991592448,118.26376799798345,103.96773215078629,0.8148177494196759,13,0.008150031783536016,1092.0,1044.0,1100.2250000000001,0.9925242564020994,0.9488968165602489,0,0.6875,1.1869510598522748,39,142,69.1098148666548
33,Vanderbilt,SEC,23-11,115.78164626492233,16,97.80327763082649,91,0.8744182233786307,33,23,11,9,7,9-7,0.6718701185537757,0.5689747707208103,0.7512129441726824,0.6718701185537757,0.5689747707208103,0.7512129441726824,0.7230252940616062,0.7836589663249536,106.01830593564254,97.82884952208634,106.01830593564254,97.82884952208634,116.29313224093927,100.72077643699795,115.95457694308965,97.05346177749472,0.8855702215259099,11,-0.004557551501610857,1180.0,1131.0,1074.65,1.0980319173684454,1.0524356767319591,0,0.5625,1.8109672201560343,32,176,67.74166130675023
34,Villanova,BE,21-12,113.74910738067057,26,96.25619721949596,64,0.8721709147031884,34,21,12,9,9,9-9,0.7048223445832171,0.5181971115505098,0.8344850161668267,0.7048223445832171,0.5181971115505098,0.8344850161668267,0.6957902006831074,0.8538498645467422,107.38429688871355,97.4286748962537,107.38429688871355,97.4286748962537,115.51302789119488,97.72990545820335,128.0930138288715,104.13596784346278,0.9153809799242543,13,-0.01124554496841268,1262.0,1245.0,1171.05,1.0776653430681866,1.0631484565133855,0,0.5,1.4905260920989893,36,198,66.33963654231864
35,Belmont,ASun,30-5,110.23613820887198,52,93.54427299934211,36,0.8685483728979556,35,30,5,19,1,19-1,0.38904722698651273,0.46413312242234395,0.3377301699710467,0.38904722698651273,0.46413312242234395,0.3377301699710467,0.8794668739604734,0.8141285817082285,99.2252602442014,103.32864139502985,99.2252602442014,103.32864139502985,109.48336718699287,91.60965109636369,104.46371876324034,96.3809256153749,0.716285897091467,4,0.0035869854592659456,1588.0,1170.0,1375.675,1.1543424137241718,0.8504915768622676,0,0.95,1.0276232949743913,41,160,69.33770015768454
36,Georgetown,BE,21-11,112.15732246371365,34,95.48903866416727,54,0.8641561611388999,36,21,11,10,8,10-8,0.7601394777523783,0.6322271786054295,0.8339652005696586,0.7601394777523783,0.6322271786054295,0.8339652005696586,0.6352220915226859,0.7655924984504902,109.10917422517768,96.39092531114831,109.10917422517768,96.39092531114831,111.3938444676767,95.37680420623958,121.38518512699798,103.58793633528235,0.8609618131867569,18,0.08734194393706629,1168.0,1174.0,1127.0249999999999,1.0363567800181896,1.0416805306004748,0,0.5555555555555556,4.3568435674975605,18,23,65.03459548802559
37,Butler,Horz,27-10,110.98526638655719,45,94.53268202619083,45,0.8635620912577953,37,27,10,13,5,13-5,0.639336638075969,0.6385346596644023,0.5525532421219377,0.639336638075969,0.6385346596644023,0.5525532421219377,0.7452018765133873,0.7053967478950386,105.54143815556336,98.69381861951018,105.54143815556336,98.69381861951018,111.63840159943186,100.38764046851308,108.57671821486072,89.1154454754555,0.9064915449154621,8,0.03834467499063676,1295.0,1184.0,1165.8625,1.1107656348840451,1.015557151893984,0,0.7222222222222222,-0.4031887805142207,57,86,64.70874381357909
38,Temple,A10,26-8,108.9823456054005,62,93.12431683859265,31,0.8591661449034041,38,26,8,14,2,14-2,0.6045938216674046,0.6294627192262503,0.5388613407896448,0.6045938216674046,0.6294627192262503,0.5388613407896448,0.7706309548422621,0.7361636978078118,104.5279906877737,99.6157991754107,104.5279906877737,99.6157991754107,109.11033134291684,94.25315395412653,109.2267914361428,97.3197097475907,0.7904078645960466,8,0.051184582522764366,1163.0,1004.0,1061.8000000000002,1.095309851196082,0.9455641363721979,0,0.875,2.1400719663967935,28,61,65.53186685096888
39,Penn St.,B10,19-15,112.17491595146188,33,96.32578774874099,67,0.8521694040693569,39,19,15,9,9,9-9,0.7663054978708583,0.538278947084314,0.8764824180939095,0.7663054978708583,0.538278947084314,0.8764824180939095,0.6111110593643225,0.8363665407091304,110.39629914132301,96.21888073548533,110.39629914132301,96.21888073548533,116.23958448480107,98.47768107376156,122.71895855715427,105.02422258797768,0.8570029203736523,18,0.026363140824149256,1138.0,1156.0,1054.1249999999998,1.0795683623858652,1.096644136131863,0,0.5,1.7399345021997092,34,115,60.78929795453318
40,Maryland,ACC,19-14,108.44103387362586,68,93.14881434848394,32,0.8517122618602943,40,19,14,7,9,7-9,0.6347293260369966,0.4684300908706259,0.7662582498387329,0.6347293260369966,0.4684300908706259,0.7662582498387329,0.6962947912375934,0.7898115002889191,106.65794378084593,99.36522809575978,106.65794378084593,99.36522809575978,109.85393921301298,96.88454125209851,120.33083080055076,104.20191544451819,0.8395677113824767,13,-0.05407247173538676,1164.0,1161.0,1124.2875000000001,1.035322370834862,1.0326540142089988,0,0.4375,-1.4955353959282236,66,284,71.526672218243
41,George Mason,CAA,27-7,111.2460742190112,41,95.70721672432154,56,0.8494361667580774,41,27,7,16,2,16-2,0.5489004786939724,0.5289812379176563,0.516892346009801,0.5489004786939724,0.5289812379176563,0.516892346009801,0.8172616041052144,0.8393193105392692,103.9256143772744,101.40376209370638,103.9256143772744,101.40376209370638,113.0958671382663,95.09669218066452,117.4896545203433,98.5849615856007,0.8826184078482845,5,0.038224748591567104,1342.0,1095.0,1159.5375,1.1573579983398554,0.9443420329226093,0,0.8888888888888888,1.055392368624518,40,87,65.79741699944871
42,Alabama,SEC,25-12,104.05332834921614,118,89.63048489775781,7,0.8475990097322307,42,25,12,12,4,12-4,0.5999134904657243,0.4269634349509374,0.6728135332926846,0.5999134904657243,0.4269634349509374,0.6728135332926846,0.7637776951773503,0.8472539923445097,104.20583016244832,99.51573769697133,104.20583016244832,99.51573769697133,104.41060749438908,89.05841777732692,110.11963740994435,99.16299147530304,0.7694536687047328,7,-0.01792015600042296,1060.0,974.0,1053.6000000000001,1.0060744115413818,0.9244495064540621,0,0.75,-1.2325257698635905,63,215,64.9013794006848
43,UCLA,P10,23-11,107.46857719870786,78,92.65580918825661,27,0.8462554439176028,43,23,11,13,5,13-5,0.6845273133384732,0.5476403903566044,0.7576405665531232,0.6845273133384732,0.5476403903566044,0.7576405665531232,0.7140908715396688,0.7848455988073331,107.05371733365213,98.09975642884493,107.05371733365213,98.09975642884493,107.54134016667446,91.04497230190424,116.09734784949597,97.21164310240762,0.8851055871502859,12,0.04431006366538215,1226.0,1154.0,1193.75,1.0270157068062826,0.9667015706806282,0,0.7222222222222222,1.4388461632035003,37,77,66.58803731139048
44,Michigan St.,B10,18-15,107.80763589336624,73,93.0010156649482,29,0.8454024986599414,44,18,15,9,9,9-9,0.7774030124390643,0.6167360060203619,0.860827591757347,0.7774030124390643,0.6167360060203619,0.860827591757347,0.5848324355572793,0.666561902808771,110.23621303174603,95.64953401622033,110.23621303174603,95.64953401622033,108.5776657717186,95.45589478996084,114.96917602647358,99.43714050219322,0.8414546198050298,21,0.05202372743403,1165.0,1209.0,1145.425,1.0170897265207237,1.0555034157627081,0,0.5,2.27014862677755,26,59,66.57174627084652
